State Name,Student Support Services Subtotal (STE22) [State Finance] 2019-20,Student Support Services Subtotal (STE22) [State Finance] 2018-19,Student Support Services Subtotal (STE22) [State Finance] 2017-18,Student Support Services Subtotal (STE22) [State Finance] 2016-17,Student Support Services Subtotal (STE22) [State Finance] 2015-16,Student Support Services Subtotal (STE22) [State Finance] 2014-15,Student Support Services Subtotal (STE22) [State Finance] 2013-14,Student Support Services Subtotal (STE22) [State Finance] 2012-13,Student Support Services Subtotal (STE22) [State Finance] 2011-12,Student Support Services Subtotal (STE22) [State Finance] 2010-11,Student Support Services Subtotal (STE22) [State Finance] 2009-10,Student Support Services Subtotal (STE22) [State Finance] 2008-09,Student Support Services Subtotal (STE22) [State Finance] 2007-08,Student Support Services Subtotal (STE22) [State Finance] 2006-07,Student Support Services Subtotal (STE22) [State Finance] 2005-06,Student Support Services Subtotal (STE22) [State Finance] 2004-05,Student Support Services Subtotal (STE22) [State Finance] 2003-04,Student Support Services Subtotal (STE22) [State Finance] 2002-03,Student Support Services Subtotal (STE22) [State Finance] 2001-02,Student Support Services Subtotal (STE22) [State Finance] 2000-01,Student Support Services Subtotal (STE22) [State Finance] 1999-00,Student Support Services Subtotal (STE22) [State Finance] 1998-99;
ALABAMA,502999041,487167851,461565098,446175480,421960616,408978557,392577243,374953735,368381692,382417004,382558118,373911064,369939395,330676760,293234818,257605383,234495695,222290502,204290027,194873225,182987611,166526124;
ALASKA,190918004,186646596,181228981,183607086,181082376,218767609,198615626,199963490,192256374,180052432,177943559,161052437,137985636,105338999,96524288,90703515,89318969,65339615,64388173,77489288,62789688,58966383;
ARIZONA,795716006,774851636,707526379,687665505,645612015,620897251,593380581,588892530,574403573,1087247351,992984171,944922769,901084728,554492491,400463085,359508916,334074680,307957171,287953738,236642681,285277434,191444199;
ARKANSAS,289707146,287135964,273398904,266939521,260137251,253503549,248010410,238028526,236339276,233098909,223015782,210994196,204166884,189032879,174344044,160384935,142810321,130139375,130496222,116664859,106477539,95067029;
CALIFORNIA,5777121901,5644429297,4998344884,4598428811,4214534899,3641155875,3278052987,3141349472,3069455015,3004958047,3005113115,3067162753,3062279519,2731324254,2458674809,2343885172,2201000166,2156448769,1999778141,1746253661,1494679657,1790834333;
COLORADO,710863829,629418235,547538712,502457610,452660228,416794265,384838973,367097664,360503383,361217880,362440954,334618247,343098609,297655505,279312328,260673388,253380004,243696823,213121925,188822010,171883776,158595989;
CONNECTICUT,812862561,758612316,723276418,684769093,677862862,652076267,628888547,601860354,592808335,555701520,539157037,539181974,506973980,476949856,452266669,409057111,373317487,348878703,327975937,311296435,289227572,276369365;
DELAWARE,252307552,119907934,103010422,90649991,81492684,81052413,84965931,76481725,74118158,75880965,78770211,76345433,76410553,72978859,67087095,61863709,57673224,53596105,50965572,46478944,42621109,40678353;
FLORIDA,1412512289,1310449115,1219435190,1161081358,1140143310,1098979768,1066054260,1001065131,988122468,1066263704,1068010680,1087761327,1107957513,1061830972,984592467,914900069,868629071,830143525,789365459,759791209,701302541,683444007;
GEORGIA,1193383349,1110479970,1012638114,943008836,830729162,771530498,732484396,722535760,721257246,733717324,764718868,766374311,743695315,695559155,654684755,586475351,544176218,527125130,497054929,456466742,441902422,412249411;
HAWAII,311161143,307229906,261298935,244801730,240765322,225974791,208972596,200606039,205572143,201019712,215889360,211126914,239458788,244457582,216530873,181119672,173308533,162114229,74140387,88081382,89757512,77903091;
IDAHO,156713908,146192907,137294125,125437664,117284685,112318762,108411666,107881175,103651148,106724358,112049254,113401148,107754262,99814766,94777419,90583988,86603146,85570393,82938617,79798737,72210727,68225369;
ILLINOIS,2543526296,2331037417,2273677584,2214976895,2003953270,1934527789,1819444491,1732959377,1670798586,1658199133,1614534322,1508922163,1421223704,1322640103,1218202892,1178623198,1124762603,1066936514,1024316574,951476314,861098372,773719763;
INDIANA,639253425,598660950,562725619,537799871,513635122,497924223,484029115,480248589,477217386,456293225,464829197,451615728,388487384,421863096,407130692,404747997,379083957,356993525,341540639,331669388,312521202,291828141;
IOWA,376616615,367928729,354879822,341230751,331961505,317936388,304948425,291722110,277615153,273995071,275660277,268930849,257575441,242161566,239000508,221574600,229114949,232374131,233250682,221553452,211398628,198621408;
KANSAS,422524798,382537707,359629745,328022049,317618258,321454489,310926700,290281852,288452948,275381977,274051819,276622731,263353000,244480491,227654769,214351974,208943003,197923844,205072785,183240160,168168645,156477506;
KENTUCKY,405505602,381730145,369552959,336798336,325339679,313386126,299764592,293736976,291664390,279804649,270366574,260815423,251346401,232617080,214671026,190807135,199072042,177949299,167403667,155499612,146108056,136770396;
LOUISIANA,543522506,533298570,516079062,495861379,484084092,482231612,465252910,460357551,454281016,369620287,356775973,334255540,297597660,260297030,228553649,242499233,232567442,214352616,199416320,182162228,176747140,169483867;
MAINE,206272515,196743465,189536304,180994502,175215401,169351311,164324417,147741006,152289257,155421017,151466805,147738056,104008431,89733984,78432253,71836708,65689871,64322567,59626892,54264508,49280504,47138736;
MARYLAND,693134728,647653444,620567979,595712657,602547328,593168050,560222080,543725659,536146520,528144964,540462265,529878800,503568628,431929307,391342032,372284536,333760713,308603175,315235780,302683140,271035191,256359943;
MASSACHUSETTS,1529987662,1447805528,1330303431,1270085570,1196664433,1150551216,1090863889,1042745819,1000933977,953027461,995203558,956365409,837119652,698997654,649924543,695371043,599450659,615326417,574936662,439599080,405749873,405269436;
MICHIGAN,1565357085,1484239303,1414514390,1360803685,1326828477,1297646863,1260488938,1250568836,1258620326,1269121497,1309086573,1306870250,1276682903,1264115977,1210229309,1176857537,1119868320,1070028877,989268072,894684721,921491284,823393900;
MINNESOTA,369302846,354298475,337569545,323866756,303587572,287025880,264840409,250350581,241916606,236404664,234716428,247606199,229099790,218943814,205659137,202667876,224820532,230704067,230502677,227251598,206786831,192744032;
MISSISSIPPI,244677450,234607014,228071133,224418907,219996552,212884287,201216772,197597568,193146503,187585604,192446065,186883015,181504556,169540915,160537083,155280723,138220451,123996902,113546713,107703386,104393012,90588973;
MISSOURI,717379717,686688690,449534963,441237533,427176357,426350736,419926255,417269574,407035667,406334699,416185711,414202517,400600289,380342350,357736863,341734428,338244369,333195597,309980941,283163794,261722354,246807985;
MONTANA,120699035,122365504,120093350,115746401,109493975,106293092,102995769,97206201,93008875,93751926,88329606,81181803,77241531,73699934,67429306,63976287,59396870,53842525,52200778,50609718,47150567,44102106;
NEBRASKA,229877674,222005992,155459451,154574573,178618019,168602089,161831899,155032725,129717150,119383693,123134706,112010623,115327995,121838127,111971757,105770104,97846551,96432885,96464094,81967111,81532614,73897768;
NEVADA,274633971,254713745,241832071,237070166,217928332,204090969,199458156,191507943,191676711,187908395,187286015,173167211,164349527,120116722,111762347,102148212,94896067,83395550,79748082,75305268,69753356,65570517;
NEW HAMPSHIRE,248988808,240311459,231281727,222126431,218076363,209636995,203668476,198332980,196953310,190003379,183456557,173944749,164418011,153968914,146728742,136130681,127383445,117777479,108681031,97215575,90268712,71605921;
NEW JERSEY,3213915481,3155100899,2991165502,2858017551,2746074016,2661154630,2566489861,2540290351,2417152515,2290749526,2320205642,2205961994,2303520401,2053895138,1882174217,1765683292,1657197809,1555186249,1368917192,1276769849,1146201335,1062689862;
NEW MEXICO,402637000,358111174,344119912,337928445,345699627,334465825,320483764,313954746,312820525,325026300,341902323,324958222,314842674,283957160,263341591,252899874,242222500,231167639,222064829,198999629,184659664,162053153;
NEW YORK,2056674320,2133386376,2058709712,1950611184,1855206552,1805255203,1745261377,1808016762,1760925224,1708220927,1668770669,1629615689,1536856975,1405183930,1317736320,1296215046,1238071433,1112896854,1042721292,1017926337,963003580,997953403;
NORTH CAROLINA,879018929,852742489,794508436,758524685,655786629,636633246,602681747,599379114,579240594,581125016,566392273,573371313,564545878,633899354,568445552,529579961,462140545,449437285,460370579,427826179,404419379,366069508;
NORTH DAKOTA,67922862,65392327,63143920,60780643,58232602,54722115,51457566,50298740,47134982,47022621,43760141,38022527,36992017,35789632,34284526,32582206,30092253,28697175,26356586,23925911,23186898,22007025;
OHIO,1691658219,1610529080,1528502407,1454985976,1385265606,1348398182,1304199338,1260379883,1252065975,1268589615,1231855624,1179199582,1131995547,1094606120,1066791497,1027654885,996604371,944732641,828378890,755928201,689077991,622258303;
OKLAHOMA,457632955,445401067,394083069,374210753,387297821,377997651,368046375,356191994,352443026,341622645,352222688,342772504,331037317,305355295,285058239,272723684,251383487,246656473,245810987,234801962,203606251,191950810;
OREGON,630483853,591243920,539763587,494587399,460541779,429146389,397717660,385041187,382605888,387582629,388122437,397275597,374494734,352399175,337294839,305937546,279158413,277036525,288364898,261337509,233771961,179455970;
PENNSYLVANIA,1791643830,1710266979,1612420993,1538734405,1442409432,1359395829,1289818194,1262977116,1228637579,1215179186,1169784801,1086620845,1051774855,1000132623,952558026,899571892,851226191,792337375,751400264,692455423,661008912,622771596;
RHODE ISLAND,279800299,267070741,257380346,248744281,234929881,230559891,224921922,221289540,223902303,225593743,248278384,266636619,252540877,236532412,230464451,185055463,141672054,131529656,124703506,110739544,93915029,83601897;
SOUTH CAROLINA,688135369,687253663,662087764,619624846,592083778,568055468,534298128,520192090,492121934,474537891,480586925,487739472,469948530,426341337,391163071,366396933,339628317,330343044,314153003,296257205,266564200,247161681;
SOUTH DAKOTA,83527292,80596059,78506985,76803368,69684607,66188373,63354068,61569678,60231411,62504119,61497957,61302300,56941889,53780024,52231982,50768464,48469316,47231448,44393953,41730296,39427452,36643089;
TENNESSEE,548784548,514609550,499944056,416268008,394133496,378073987,359928059,360017489,359655655,342362543,321710738,321371934,298693021,242799708,227032959,215183220,218593724,200290631,189868165,175454106,166623705,154164990;
TEXAS,3053574760,2779363690,2654995698,2515067154,2428238474,2311748863,2169648691,2053943652,1996384592,2081440100,2058006641,1971160146,1893545178,1759203568,1643050505,1558220545,1506361849,1477574356,1373054722,1286358245,1208267542,1083912467;
UTAH,299912383,258746471,231010195,185372781,167485757,166509679,153586362,148653878,147162004,143614756,140092656,138666155,126892940,111388807,102817921,96841532,92731008,88038065,87931430,81291825,75109551,67305903;
VERMONT,155439717,146255349,142283038,133215793,128614568,121757954,120898088,117572264,114891149,111636794,112671646,103820500,99425577,95756020,91603743,85112527,80690811,74199811,70608110,63852052,56559826,50952776;
VIRGINIA,899119355,840097208,811959790,774800068,746366709,727280346,696380209,687632571,652507126,627158407,642426927,655441091,627357662,597727031,548472806,508516435,474173566,442175390,411228710,392921055,367659128,342628004;
WASHINGTON,1305491555,1222996840,1052588916,967929075,862958634,779713068,737024231,683840897,870086410,671778659,658554607,660150257,612168075,569081385,524784609,494930198,468305113,513675197,492505837,474585892,443817707,409599990;
WEST VIRGINIA,184241868,174321020,165396843,166921088,160782774,159213416,156038825,156881882,155961035,153000423,146619411,110677242,103734824,98081147,94580474,88866208,81553215,81165554,76313997,72480448,68461473,64388983;
WISCONSIN,581222543,562928170,541826250,516869561,502608035,494394557,478470260,468935266,462397013,490843389,468750054,448910926,428833402,415956465,399758641,386464168,375946851,361287649,354602871,341375323,322627041,311494280;
WYOMING,99596146,94489000,93742268,93675794,92971422,88271654,86540569,84527780,83700452,81181164,77033133,73056758,69303324,65889828,56760120,50936276,48229806,46318178,45599710,41012355,40234792,38136063;
;
;
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""National Public Education Financial Survey (State Fiscal)"" 2021-22 (FY 2022) v.1a  2021-22 (FY 2022) v.1b  2021-22 (FY 2022) v.1d  2021-22 (FY 2022) v.2a";" ""State Nonfiscal Public Elementary/Secondary Education Survey"" 2022-23 v.1a."
;
† indicates that the data are not applicable.;
– indicates that the data are missing.;
‡ indicates that the data do not meet NCES data quality standards.;
;
ELSI Export;
;
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/;
;
This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC;
