"","state","year","spending"
"1","Alabama",1999,182987611
"2","Alabama",2000,190911353.666667
"3","Alabama",2001,201151093
"4","Alabama",2002,216290343.666667
"5","Alabama",2003,230427297.333333
"6","Alabama",2004,249902153.666667
"7","Alabama",2005,281358339.666667
"8","Alabama",2006,318196112.666667
"9","Alabama",2007,356851850
"10","Alabama",2008,372587174.333333
"11","Alabama",2009,379675766.666667
"12","Alabama",2010,382464042
"13","Alabama",2011,373060129.333333
"14","Alabama",2012,372763054
"15","Alabama",2013,386702740.333333
"16","Alabama",2014,403511452.333333
"17","Alabama",2015,417633263
"18","Alabama",2016,438103858.666667
"19","Alabama",2017,456435225.333333
"20","Alabama",2018,478633600
"21","Alabama",2019,497721977.666667
"22","Alaska",1999,62789688
"23","Alaska",2000,72589421.3333333
"24","Alaska",2001,68755211.3333333
"25","Alaska",2002,65022467.6666667
"26","Alaska",2003,81325851
"27","Alaska",2004,90241999.6666667
"28","Alaska",2005,94584030.3333333
"29","Alaska",2006,102400762
"30","Alaska",2007,127103423.666667
"31","Alaska",2008,153363503.333333
"32","Alaska",2009,172313185
"33","Alaska",2010,179349474.333333
"34","Alaska",2011,188188393.333333
"35","Alaska",2012,197394451.333333
"36","Alaska",2013,199064914
"37","Alaska",2014,212050281.333333
"38","Alaska",2015,193644120.333333
"39","Alaska",2016,182765516
"40","Alaska",2017,182021682.666667
"41","Alaska",2018,184840724.333333
"42","Alaska",2019,189494201.333333
"43","Arizona",1999,285277434
"44","Arizona",2000,252854265.333333
"45","Arizona",2001,270850052.333333
"46","Arizona",2002,301289360
"47","Arizona",2003,325368843.666667
"48","Arizona",2004,351030837.333333
"49","Arizona",2005,386811695.333333
"50","Arizona",2006,503149355.666667
"51","Arizona",2007,785553982.333333
"52","Arizona",2008,930310088.666667
"53","Arizona",2009,976963703.666667
"54","Arizona",2010,1055826291
"55","Arizona",2011,745351499
"56","Arizona",2012,584062877.666667
"57","Arizona",2013,591884564
"58","Arizona",2014,611725027.666667
"59","Arizona",2015,637373760.333333
"60","Arizona",2016,673647675
"61","Arizona",2017,700906087.666667
"62","Arizona",2018,752409883.666667
"63","Arizona",2019,788761216
"64","Arkansas",1999,106477539
"65","Arkansas",2000,113269085.666667
"66","Arkansas",2001,125885767.666667
"67","Arkansas",2002,130258324
"68","Arkansas",2003,138586672.333333
"69","Arkansas",2004,154526730.333333
"70","Arkansas",2005,169691007.666667
"71","Arkansas",2006,184136600.666667
"72","Arkansas",2007,199122215.666667
"73","Arkansas",2008,208718425.333333
"74","Arkansas",2009,219008586.666667
"75","Arkansas",2010,229737866.666667
"76","Arkansas",2011,235259153.666667
"77","Arkansas",2012,237465442.666667
"78","Arkansas",2013,244683115.333333
"79","Arkansas",2014,251672502.666667
"80","Arkansas",2015,257926017
"81","Arkansas",2016,264672097.666667
"82","Arkansas",2017,271245776.333333
"83","Arkansas",2018,282556944
"84","Arkansas",2019,288850085.333333
"85","California",1999,1494679657
"86","California",2000,1662395659.66667
"87","California",2001,1915269981
"88","California",2002,2104225226.33333
"89","California",2003,2186149700.33333
"90","California",2004,2296256836.66667
"91","California",2005,2420411596.66667
"92","California",2006,2640441105.66667
"93","California",2007,2951961097.33333
"94","California",2008,3065535008.33333
"95","California",2009,3025796327.66667
"96","California",2010,3005009736.33333
"97","California",2011,3047956025.66667
"98","California",2012,3117384653
"99","California",2013,3232485148.66667
"100","California",2014,3520121579
"101","California",2015,4023408557.66667
"102","California",2016,4470464173.66667
"103","California",2017,4865039526.33333
"104","California",2018,5429067826
"105","California",2019,5732891033
"106","Colorado",1999,171883776
"107","Colorado",2000,183175932
"108","Colorado",2001,205021953.333333
"109","Colorado",2002,233505190.333333
"110","Colorado",2003,250152277
"111","Colorado",2004,258242260
"112","Colorado",2005,273099348
"113","Colorado",2006,291541112.666667
"114","Colorado",2007,327950907.666667
"115","Colorado",2008,337445034.333333
"116","Colorado",2009,353166718.333333
"117","Colorado",2010,361625571.333333
"118","Colorado",2011,360741548.666667
"119","Colorado",2012,364899570.333333
"120","Colorado",2013,378925203.333333
"121","Colorado",2014,406142501
"122","Colorado",2015,440704907
"123","Colorado",2016,485858482.666667
"124","Colorado",2017,532511678
"125","Colorado",2018,602125060.666667
"126","Colorado",2019,683715297.666667
"127","Connecticut",1999,289227572
"128","Connecticut",2000,303940147.333333
"129","Connecticut",2001,322416103
"130","Connecticut",2002,341911114.333333
"131","Connecticut",2003,365171225.666667
"132","Connecticut",2004,397143903
"133","Connecticut",2005,437863483
"134","Connecticut",2006,468722127
"135","Connecticut",2007,496965938.666667
"136","Connecticut",2008,528445976
"137","Connecticut",2009,539165349.333333
"138","Connecticut",2010,550186692.333333
"139","Connecticut",2011,580439396.666667
"140","Connecticut",2012,598843014.333333
"141","Connecticut",2013,619879149.333333
"142","Connecticut",2014,644347027
"143","Connecticut",2015,669267330.333333
"144","Connecticut",2016,682467016
"145","Connecticut",2017,710440643
"146","Connecticut",2018,746833683.333333
"147","Connecticut",2019,794779146
"148","Delaware",1999,42621109
"149","Delaware",2000,45192999
"150","Delaware",2001,49470029.3333333
"151","Delaware",2002,52719260.6666667
"152","Delaware",2003,56314184.3333333
"153","Delaware",2004,60466880.6666667
"154","Delaware",2005,65345966.3333333
"155","Delaware",2006,71014937.6666667
"156","Delaware",2007,75266655
"157","Delaware",2008,76367139.6666667
"158","Delaware",2009,77961951.6666667
"159","Delaware",2010,76844047
"160","Delaware",2011,74705760.3333333
"161","Delaware",2012,75693869.3333333
"162","Delaware",2013,82137862.3333333
"163","Delaware",2014,82356919
"164","Delaware",2015,81345927
"165","Delaware",2016,87597555.3333333
"166","Delaware",2017,98890278.3333333
"167","Delaware",2018,114275430
"168","Delaware",2019,208174346
"169","Florida",1999,701302541
"170","Florida",2000,740294986.333333
"171","Florida",2001,779507375.666667
"172","Florida",2002,816550836.333333
"173","Florida",2003,855800555.666667
"174","Florida",2004,899476403
"175","Florida",2005,961361667.666667
"176","Florida",2006,1036084803.66667
"177","Florida",2007,1092581999.33333
"178","Florida",2008,1094493389
"179","Florida",2009,1074594229
"180","Florida",2010,1066846029.33333
"181","Florida",2011,1014169546.66667
"182","Florida",2012,996750910
"183","Florida",2013,1044391217
"184","Florida",2014,1088004598.66667
"185","Florida",2015,1126422129.33333
"186","Florida",2016,1154102008.66667
"187","Florida",2017,1199983912.66667
"188","Florida",2018,1280111140
"189","Florida",2019,1378491231
"190","Georgia",1999,441902422
"191","Georgia",2000,451611968.666667
"192","Georgia",2001,483525533.333333
"193","Georgia",2002,517101729.666667
"194","Georgia",2003,538492522
"195","Georgia",2004,572375640
"196","Georgia",2005,631948287
"197","Georgia",2006,681934355
"198","Georgia",2007,727649928.333333
"199","Georgia",2008,758814645.666667
"200","Georgia",2009,765270682.333333
"201","Georgia",2010,744051172
"202","Georgia",2011,725410605.333333
"203","Georgia",2012,722109588.666667
"204","Georgia",2013,729168184
"205","Georgia",2014,758515130.666667
"206","Georgia",2015,810996274
"207","Georgia",2016,905582278
"208","Georgia",2017,989428354.666667
"209","Georgia",2018,1077866018
"210","Georgia",2019,1165748889.33333
"211","Hawaii",1999,89757512
"212","Hawaii",2000,88640092
"213","Hawaii",2001,78787385.3333333
"214","Hawaii",2002,132789615
"215","Hawaii",2003,169577098.333333
"216","Hawaii",2004,178515959
"217","Hawaii",2005,204727139.333333
"218","Hawaii",2006,235148679
"219","Hawaii",2007,241125052.666667
"220","Hawaii",2008,220570872
"221","Hawaii",2009,214301878
"222","Hawaii",2010,205976261.333333
"223","Hawaii",2011,204054666
"224","Hawaii",2012,202261407
"225","Hawaii",2013,206183743.666667
"226","Hawaii",2014,220307392.666667
"227","Hawaii",2015,235835145
"228","Hawaii",2016,243456260.666667
"229","Hawaii",2017,255799866.666667
"230","Hawaii",2018,291919582.333333
"231","Hawaii",2019,309850730.666667
"232","Idaho",1999,72210727
"233","Idaho",2000,77269400.3333333
"234","Idaho",2001,81891990.3333333
"235","Idaho",2002,84693134.3333333
"236","Idaho",2003,86258895
"237","Idaho",2004,89257040.6666667
"238","Idaho",2005,93379608.6666667
"239","Idaho",2006,98135650.3333333
"240","Idaho",2007,105107763.333333
"241","Idaho",2008,111518852.666667
"242","Idaho",2009,112499885.333333
"243","Idaho",2010,108499323.333333
"244","Idaho",2011,104675551.333333
"245","Idaho",2012,106471166
"246","Idaho",2013,108234835.666667
"247","Idaho",2014,111016396.666667
"248","Idaho",2015,115629377.333333
"249","Idaho",2016,122720004.333333
"250","Idaho",2017,133341971.333333
"251","Idaho",2018,143226646.333333
"252","Idaho",2019,153206907.666667
"253","Illinois",1999,861098372
"254","Illinois",2000,921350333.333333
"255","Illinois",2001,1000036487.33333
"256","Illinois",2002,1052729867.33333
"257","Illinois",2003,1105487240
"258","Illinois",2004,1160669666.33333
"259","Illinois",2005,1205009660.66667
"260","Illinois",2006,1287827699.33333
"261","Illinois",2007,1388362503.66667
"262","Illinois",2008,1479689343.33333
"263","Illinois",2009,1579330269
"264","Illinois",2010,1643644196
"265","Illinois",2011,1666598768.33333
"266","Illinois",2012,1712239113.33333
"267","Illinois",2013,1790616119.66667
"268","Illinois",2014,1896166689.66667
"269","Illinois",2015,1980811443
"270","Illinois",2016,2144635686.66667
"271","Illinois",2017,2254110687.66667
"272","Illinois",2018,2311917472.66667
"273","Illinois",2019,2472696669.66667
"274","Indiana",1999,312521202
"275","Indiana",2000,325286659.333333
"276","Indiana",2001,338250222
"277","Indiana",2002,351842563
"278","Indiana",2003,371720479.666667
"279","Indiana",2004,396193317
"280","Indiana",2005,406336460.333333
"281","Indiana",2006,416952294.666667
"282","Indiana",2007,399612621.333333
"283","Indiana",2008,430572946.666667
"284","Indiana",2009,460424707.333333
"285","Indiana",2010,459138549
"286","Indiana",2011,470242665.666667
"287","Indiana",2012,479238188
"288","Indiana",2013,482768939.666667
"289","Indiana",2014,493292520.333333
"290","Indiana",2015,508398155.666667
"291","Indiana",2016,529744954.666667
"292","Indiana",2017,554417036.333333
"293","Indiana",2018,586682506.333333
"294","Indiana",2019,625722600
"295","Iowa",1999,211398628
"296","Iowa",2000,218168510.666667
"297","Iowa",2001,229351605.333333
"298","Iowa",2002,232666314.666667
"299","Iowa",2003,230201343
"300","Iowa",2004,224088049.666667
"301","Iowa",2005,233191872
"302","Iowa",2006,241107880
"303","Iowa",2007,252437482.666667
"304","Iowa",2008,265145713
"305","Iowa",2009,273417134.333333
"306","Iowa",2010,274550139.666667
"307","Iowa",2011,276408459
"308","Iowa",2012,287019791
"309","Iowa",2013,300539653.333333
"310","Iowa",2014,313607067
"311","Iowa",2015,327286466
"312","Iowa",2016,338141002.333333
"313","Iowa",2017,350330131.666667
"314","Iowa",2018,363579093.333333
"315","Iowa",2019,373720653
"316","Kansas",1999,168168645
"317","Kansas",2000,178216321.666667
"318","Kansas",2001,197795243.333333
"319","Kansas",2002,200306824.333333
"320","Kansas",2003,205269950
"321","Kansas",2004,212548983.666667
"322","Kansas",2005,223220504
"323","Kansas",2006,238871917
"324","Kansas",2007,257062163.666667
"325","Kansas",2008,272199487.333333
"326","Kansas",2009,274908789.666667
"327","Kansas",2010,274938591
"328","Kansas",2011,284095957.666667
"329","Kansas",2012,289672217.333333
"330","Kansas",2013,304045084
"331","Kansas",2014,317945226
"332","Kansas",2015,318897001.666667
"333","Kansas",2016,324554118.666667
"334","Kansas",2017,349093846.333333
"335","Kansas",2018,374901719.666667
"336","Kansas",2019,409195767.666667
"337","Kentucky",1999,146108056
"338","Kentucky",2000,152369093.333333
"339","Kentucky",2001,163435648.666667
"340","Kentucky",2002,174434088.333333
"341","Kentucky",2003,192031127.666667
"342","Kentucky",2004,193562104
"343","Kentucky",2005,206716395.666667
"344","Kentucky",2006,226635062
"345","Kentucky",2007,245103294
"346","Kentucky",2008,257659082.333333
"347","Kentucky",2009,267182857
"348","Kentucky",2010,276658624
"349","Kentucky",2011,287711143
"350","Kentucky",2012,293046114
"351","Kentucky",2013,297755386.666667
"352","Kentucky",2014,308845614.666667
"353","Kentucky",2015,321355161.333333
"354","Kentucky",2016,332978783.666667
"355","Kentucky",2017,358634751.333333
"356","Kentucky",2018,377671083
"357","Kentucky",2019,397580449.666667
"358","Louisiana",1999,176747140
"359","Louisiana",2000,180357198.666667
"360","Louisiana",2001,193664956
"361","Louisiana",2002,209373850.666667
"362","Louisiana",2003,226495833.333333
"363","Louisiana",2004,239188636
"364","Louisiana",2005,233202177
"365","Louisiana",2006,249715903
"366","Louisiana",2007,285164116.666667
"367","Louisiana",2008,322036246.666667
"368","Louisiana",2009,349269162
"369","Louisiana",2010,365338849
"370","Louisiana",2011,426060773
"371","Louisiana",2012,458332039.333333
"372","Louisiana",2013,463621123.666667
"373","Louisiana",2014,476572044.666667
"374","Louisiana",2015,483466598.666667
"375","Louisiana",2016,491935616.666667
"376","Louisiana",2017,509339834.333333
"377","Louisiana",2018,527558734
"378","Louisiana",2019,540114527.333333
"379","Maine",1999,49280504
"380","Maine",2000,52603173.3333333
"381","Maine",2001,57839430.6666667
"382","Maine",2002,62757342
"383","Maine",2003,65234103
"384","Maine",2004,69787762.3333333
"385","Maine",2005,76233738
"386","Maine",2006,85966740.3333333
"387","Maine",2007,99250282
"388","Maine",2008,133161514.333333
"389","Maine",2009,150223888.666667
"390","Maine",2010,154102946.333333
"391","Maine",2011,153333177
"392","Maine",2012,149257089.666667
"393","Maine",2013,158796613.333333
"394","Maine",2014,167675679.666667
"395","Maine",2015,173260704.333333
"396","Maine",2016,179068135
"397","Maine",2017,186689036.666667
"398","Maine",2018,194341078
"399","Maine",2019,203096165
"400","Maryland",1999,271035191
"401","Maryland",2000,292133823.666667
"402","Maryland",2001,311051566.666667
"403","Maryland",2002,310814043.333333
"404","Maryland",2003,325374867
"405","Maryland",2004,359443261.666667
"406","Maryland",2005,384989533.333333
"407","Maryland",2006,418400215.333333
"408","Maryland",2007,479688854.333333
"409","Maryland",2008,521108742.666667
"410","Maryland",2009,536934443.333333
"411","Maryland",2010,532250731
"412","Maryland",2011,533479334.666667
"413","Maryland",2012,541199279.333333
"414","Maryland",2013,554723273
"415","Maryland",2014,582186060
"416","Maryland",2015,599420902
"417","Maryland",2016,597990880.666667
"418","Maryland",2017,612282871.666667
"419","Maryland",2018,638624955.666667
"420","Maryland",2019,677974300
"421","Massachusetts",1999,405749873
"422","Massachusetts",2000,428316011
"423","Massachusetts",2001,529824134.666667
"424","Massachusetts",2002,601863165.333333
"425","Massachusetts",2003,604742578.333333
"426","Massachusetts",2004,663397581.666667
"427","Massachusetts",2005,665073376.333333
"428","Massachusetts",2006,682639950.333333
"429","Massachusetts",2007,791078986
"430","Massachusetts",2008,916616823.333333
"431","Massachusetts",2009,982257508.333333
"432","Massachusetts",2010,967086160
"433","Massachusetts",2011,984965138.333333
"434","Massachusetts",2012,1028808538.33333
"435","Massachusetts",2013,1074824532.33333
"436","Massachusetts",2014,1130655440.33333
"437","Massachusetts",2015,1181293360.66667
"438","Massachusetts",2016,1245611857.66667
"439","Massachusetts",2017,1310230810.66667
"440","Massachusetts",2018,1408638162.33333
"441","Massachusetts",2019,1502593617.33333
"442","Michigan",1999,921491284
"443","Michigan",2000,903620242
"444","Michigan",2001,957740288.333333
"445","Michigan",2002,1043108608.66667
"446","Michigan",2003,1103255172.33333
"447","Michigan",2004,1157861131.33333
"448","Michigan",2005,1199105385
"449","Michigan",2006,1246153754.33333
"450","Michigan",2007,1272493927.66667
"451","Michigan",2008,1296807801
"452","Michigan",2009,1308347798.66667
"453","Michigan",2010,1282443189
"454","Michigan",2011,1262120716.33333
"455","Michigan",2012,1253252666
"456","Michigan",2013,1257182237.33333
"457","Michigan",2014,1285260888
"458","Michigan",2015,1317101272.33333
"459","Michigan",2016,1349478615.66667
"460","Michigan",2017,1396610821.66667
"461","Michigan",2018,1460997665.33333
"462","Michigan",2019,1538317824.33333
"463","Minnesota",1999,206786831
"464","Minnesota",2000,220430009
"465","Minnesota",2001,229418984
"466","Minnesota",2002,230636937
"467","Minnesota",2003,226781710.333333
"468","Minnesota",2004,210052094.666667
"469","Minnesota",2005,204662050
"470","Minnesota",2006,214515588.333333
"471","Minnesota",2007,225714464.666667
"472","Minnesota",2008,241437396
"473","Minnesota",2009,239013018.333333
"474","Minnesota",2010,235841918.666667
"475","Minnesota",2011,240079292
"476","Minnesota",2012,247539256
"477","Minnesota",2013,260010466.333333
"478","Minnesota",2014,279630723
"479","Minnesota",2015,298067008
"480","Minnesota",2016,317107028
"481","Minnesota",2017,333001948.666667
"482","Minnesota",2018,348722165
"483","Minnesota",2019,364301389
"484","Mississippi",1999,104393012
"485","Mississippi",2000,106599928
"486","Mississippi",2001,111598937.333333
"487","Mississippi",2002,120513505.666667
"488","Mississippi",2003,133479268
"489","Mississippi",2004,149593965.666667
"490","Mississippi",2005,158784963
"491","Mississippi",2006,166539637.666667
"492","Mississippi",2007,177516675.666667
"493","Mississippi",2008,185090195.333333
"494","Mississippi",2009,190591715
"495","Mississippi",2010,189205757.666667
"496","Mississippi",2011,191292870
"497","Mississippi",2012,196113879.666667
"498","Mississippi",2013,200010370.666667
"499","Mississippi",2014,208995115.333333
"500","Mississippi",2015,217625797
"501","Mississippi",2016,222944788.666667
"502","Mississippi",2017,226853724.333333
"503","Mississippi",2018,232428387
"504","Mississippi",2019,241320638
"505","Missouri",1999,261722354
"506","Missouri",2000,276016647.333333
"507","Missouri",2001,301041892
"508","Missouri",2002,325457378.333333
"509","Missouri",2003,336561445
"510","Missouri",2004,340571075
"511","Missouri",2005,352402718
"512","Missouri",2006,372807187.666667
"513","Missouri",2007,393847642.666667
"514","Missouri",2008,409668441
"515","Missouri",2009,415524646.333333
"516","Missouri",2010,409618369.666667
"517","Missouri",2011,406802011
"518","Missouri",2012,413858271.666667
"519","Missouri",2013,419040694.666667
"520","Missouri",2014,424209242.333333
"521","Missouri",2015,426901150
"522","Missouri",2016,436550474.333333
"523","Missouri",2017,446769153
"524","Missouri",2018,607637447.666667
"525","Missouri",2019,707149374.666667
"526","Montana",1999,47150567
"527","Montana",2000,49456667.6666667
"528","Montana",2001,51670424.6666667
"529","Montana",2002,53295276
"530","Montana",2003,57545421.6666667
"531","Montana",2004,62449814.6666667
"532","Montana",2005,66278299.6666667
"533","Montana",2006,71609724.6666667
"534","Montana",2007,76060998.6666667
